Date,Ticker,compound,neg,neu,pos
2021-04-06,AMC,0.8225,0.05,0.583,0.367
2021-04-06,AMC,-0.25,0.173,0.701,0.126
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,0.8126,0.0,0.641,0.359
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.3869,0.396,0.604,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.4404,0.146,0.854,0.0
2021-04-06,AMC,0.9098,0.0,0.582,0.418
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.4215,0.286,0.714,0.0
2021-04-06,AMC,0.5719,0.0,0.709,0.291
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.2732,0.0,0.9,0.1
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.128,0.0,0.914,0.086
2021-04-06,AMC,0.4404,0.0,0.892,0.108
2021-04-06,AMC,-0.1779,0.199,0.679,0.122
2021-04-06,AMC,-0.1419,0.089,0.911,0.0
2021-04-06,AMC,-0.1531,0.147,0.737,0.116
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,0.5106,0.0,0.476,0.524
2021-04-06,AMC,0.6124,0.0,0.773,0.227
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.5859,0.0,0.568,0.432
2021-04-06,AMC,0.0583,0.048,0.894,0.058
2021-04-06,AMC,-0.4019,0.213,0.787,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.2732,0.0,0.861,0.139
2021-04-06,AMC,0.4404,0.0,0.892,0.108
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.1531,0.147,0.737,0.116
2021-04-06,AMC,0.296,0.0,0.913,0.087
2021-04-06,AMC,0.1531,0.0,0.918,0.082
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.1779,0.199,0.679,0.122
2021-04-06,AMC,0.8326,0.0,0.719,0.281
2021-04-06,AMC,0.3612,0.0,0.889,0.111
2021-04-06,AMC,0.2023,0.0,0.886,0.114
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.1531,0.147,0.737,0.116
2021-04-06,AMC,-0.6249,0.24,0.76,0.0
2021-04-06,AMC,-0.296,0.189,0.68,0.131
2021-04-06,AMC,0.2732,0.0,0.851,0.149
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,-0.7402,0.222,0.778,0.0
2021-04-06,AMC,0.6597,0.0,0.787,0.213
2021-04-06,AMC,-0.7402,0.222,0.778,0.0
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,0.3612,0.0,0.8,0.2
2021-04-06,AMC,0.7003,0.0,0.714,0.286
2021-04-06,AMC,0.0,0.0,1.0,0.0
2021-04-06,AMC,-0.7402,0.222,0.778,0.0
