Ticker,Date,compound,neg,neu,pos
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.3612,0.0,0.828,0.172
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.5267,0.065,0.769,0.166
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.296,0.0,0.732,0.268
AMC,2021-04-01,0.7579,0.0,0.615,0.385
AMC,2021-04-01,0.296,0.0,0.761,0.239
AMC,2021-04-01,0.6124,0.0,0.583,0.417
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,-0.6037,0.216,0.692,0.092
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.6249,0.0,0.785,0.215
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.3566,0.0,0.866,0.134
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.9561,0.0,0.62,0.38
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.2217,0.1,0.759,0.141
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.4549,0.0,0.937,0.063
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.0201,0.084,0.826,0.09
AMC,2021-04-01,0.0258,0.099,0.798,0.103
AMC,2021-04-01,-0.1531,0.172,0.676,0.152
AMC,2021-04-01,0.4939,0.0,0.686,0.314
AMC,2021-04-01,-0.4404,0.097,0.903,0.0
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.296,0.0,0.879,0.121
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-04-01,0.0,0.0,1.0,0.0
AMC,2021-03-31,-0.719,0.197,0.707,0.096
AMC,2021-03-31,-0.7351,0.135,0.865,0.0
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.8268,0.0,0.792,0.208
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.9499,0.0,0.648,0.352
AMC,2021-03-31,0.7351,0.0,0.677,0.323
AMC,2021-03-31,0.5267,0.0,0.833,0.167
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,-0.8877,0.477,0.421,0.102
AMC,2021-03-31,0.3612,0.0,0.545,0.455
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.9246,0.0,0.644,0.356
AMC,2021-03-31,0.6908,0.0,0.659,0.341
AMC,2021-03-31,-0.4215,0.237,0.763,0.0
AMC,2021-03-31,-0.4215,0.237,0.763,0.0
AMC,2021-03-31,-0.4215,0.237,0.763,0.0
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.802,0.072,0.686,0.242
AMC,2021-03-31,0.7531,0.0,0.828,0.172
AMC,2021-03-31,-0.3182,0.187,0.695,0.118
AMC,2021-03-31,0.296,0.0,0.845,0.155
AMC,2021-03-31,0.4939,0.0,0.686,0.314
AMC,2021-03-31,-0.186,0.095,0.835,0.07
AMC,2021-03-31,0.4404,0.0,0.633,0.367
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.5023,0.0,0.905,0.095
AMC,2021-03-31,0.296,0.0,0.645,0.355
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.4019,0.0,0.526,0.474
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.2263,0.0,0.678,0.322
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.2263,0.0,0.872,0.128
AMC,2021-03-31,0.5927,0.0,0.757,0.243
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.6104,0.0,0.765,0.235
AMC,2021-03-31,0.4588,0.0,0.769,0.231
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.34,0.0,0.833,0.167
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.2263,0.0,0.942,0.058
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.5267,0.0,0.833,0.167
AMC,2021-03-31,0.4215,0.0,0.588,0.412
AMC,2021-03-31,0.0,0.0,1.0,0.0
AMC,2021-03-31,0.0772,0.123,0.739,0.138
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.4278,0.0,0.585,0.415
SOS,2021-04-07,-0.5106,0.767,0.233,0.0
SOS,2021-04-07,0.4588,0.0,0.857,0.143
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.4939,0.0,0.556,0.444
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.5499,0.0,0.818,0.182
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.4588,0.0,0.786,0.214
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.296,0.0,0.732,0.268
SOS,2021-04-07,-0.296,0.196,0.804,0.0
SOS,2021-04-07,-0.2263,0.655,0.345,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,-0.2263,0.322,0.678,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0688,0.21,0.559,0.231
SOS,2021-04-07,0.8859,0.033,0.742,0.225
SOS,2021-04-07,-0.4019,0.122,0.816,0.061
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,-0.2263,0.388,0.612,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,-0.2263,0.213,0.787,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,-0.2263,0.322,0.678,0.0
SOS,2021-04-07,-0.2263,0.322,0.678,0.0
SOS,2021-04-07,-0.2263,0.388,0.612,0.0
SOS,2021-04-07,0.3898,0.0,0.901,0.099
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.507,0.0,0.709,0.291
SOS,2021-04-07,0.7351,0.111,0.586,0.302
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,-0.296,0.268,0.732,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.5106,0.0,0.377,0.623
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,-0.2263,0.213,0.787,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,-0.2732,0.228,0.621,0.152
SOS,2021-04-07,-0.7749,0.168,0.796,0.037
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.296,0.0,0.855,0.145
SOS,2021-04-07,-0.5267,0.167,0.833,0.0
SOS,2021-04-07,-0.5267,0.167,0.833,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.296,0.0,0.577,0.423
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,-0.5267,0.167,0.833,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-07,0.2732,0.0,0.656,0.344
SOS,2021-04-07,0.0,0.0,1.0,0.0
SOS,2021-04-06,0.0,0.0,1.0,0.0
SOS,2021-04-06,-0.4404,0.326,0.674,0.0
SOS,2021-04-06,0.0,0.0,1.0,0.0
SOS,2021-04-06,0.0,0.0,1.0,0.0
SOS,2021-04-06,0.0,0.0,1.0,0.0
SOS,2021-04-06,0.3612,0.0,0.783,0.217
SOS,2021-04-06,0.3724,0.0,0.585,0.415
SOS,2021-04-06,0.0,0.0,1.0,0.0
SOS,2021-04-06,0.0,0.0,1.0,0.0
SOS,2021-04-06,0.5106,0.0,0.645,0.355
SOS,2021-04-06,0.0,0.0,1.0,0.0
SOS,2021-04-06,-0.2263,0.192,0.808,0.0
SOS,2021-04-06,0.0,0.0,1.0,0.0
SOS,2021-04-06,-0.8038,0.508,0.492,0.0
SOS,2021-04-06,-0.34,0.324,0.676,0.0
SOS,2021-04-06,0.0,0.0,1.0,0.0
SOS,2021-04-06,0.0,0.0,1.0,0.0
SOS,2021-04-06,0.3612,0.0,0.815,0.185
SOS,2021-04-06,0.0,0.0,1.0,0.0
SOS,2021-04-06,-0.6408,0.458,0.542,0.0
SOS,2021-04-06,0.0,0.0,1.0,0.0
